exit_week,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl,avg_pnl,max_win,max_loss,profit_factor,avg_duration,cumulative_pnl
2024-07-01/2024-07-07,13,2,11,0.15384615384615385,16.61950743198389,33.057639072239624,-16.438131640255733,-1.2644716646350564,8.391889929771423,-3.695075175583611,0.5027433264567353,0 days 06:34:36.923076923,-16.438131640255733
2024-07-08/2024-07-14,17,4,13,0.23529411764705882,33.19643533229822,36.964567863016384,-3.7681325307181623,-0.22165485474812718,8.398018598556405,-3.545077043026481,0.8980609608454739,0 days 12:50:17.647058823,-20.206264170973895
2024-07-15/2024-07-21,23,7,16,0.30434782608695654,55.19142544269528,45.4999786790907,9.691446763604574,0.4213672505915032,8.39988541603077,-3.5894651870728467,1.2129989297788009,0 days 04:47:36.521739130,-10.514817407369321
2024-07-22/2024-07-28,36,17,19,0.4722222222222222,135.33813071250904,47.91408056876037,87.42405014374867,2.428445837326352,8.416358828544617,-3.685321369170822,2.82460039107478,0 days 04:44:10,76.90923273637935
2024-07-29/2024-08-04,75,33,42,0.44,244.08809187063554,108.39120663919999,135.69688523143554,1.8092918030858072,8.419454813003426,-3.7938492676019564,2.251917839452858,0 days 02:17:00,212.6061179678149
2024-08-05/2024-08-11,133,51,82,0.38345864661654133,400.3455449544481,217.02500365358532,183.32054130086277,1.378349934592953,14.649869441985857,-5.72824544656271,1.844697791566351,0 days 01:14:12.631578947,395.92665926867767
2024-08-12/2024-08-18,25,14,11,0.56,160.7794586420053,50.247204398989425,110.53225424301587,4.421290169720635,16.41747021675087,-5.985579371452445,3.199769232240887,0 days 06:12:36,506.45891351169354
2024-08-19/2024-08-25,29,15,14,0.5172413793103449,234.05598020553612,71.74549058318291,162.3104896223532,5.596913435253558,16.561464071273804,-6.833600521087533,3.2623092866605705,0 days 05:33:06.206896551,668.7694031340468
2024-08-26/2024-09-01,15,5,10,0.3333333333333333,79.52676773071289,48.59704143261865,30.929726298094238,2.0619817532062825,16.61229372024536,-7.026664974689538,1.6364528659831954,0 days 07:22:00,699.699129432141
2024-09-02/2024-09-08,33,11,22,0.3333333333333333,230.86625182628637,134.33007707431585,96.53617475197052,2.9253386288475913,23.156468510628088,-9.68572964394042,1.7186489939893619,0 days 04:57:16.363636363,796.2353041841116
2024-09-09/2024-09-15,32,13,19,0.40625,262.43152642250095,139.09653192177302,123.33499450072793,3.854218578147748,25.007213115691798,-11.173222839832135,1.8866863378742664,0 days 04:44:31.875000,919.5702986848395
2024-09-16/2024-09-22,32,18,14,0.5625,469.6635149717318,127.81202913853491,341.8514858331969,10.682858932287402,33.16239738464333,-13.31400356948393,3.6746425053831633,0 days 05:18:16.875000,1261.4217845180365
2024-09-23/2024-09-29,34,18,16,0.5294117647058824,615.485745468737,195.9435250332342,419.5422204355029,12.339477071632437,46.5702424049374,-14.933809454798848,3.141138475304779,0 days 05:55:35.294117647,1680.9640049535394
2024-09-30/2024-10-06,37,23,14,0.6216216216216216,1121.0499318838158,194.7215651835529,926.3283667002628,25.035901802709805,62.39255619049118,-19.266122907400533,5.757194539942538,0 days 03:00:24.324324324,2607.292371653802
2024-10-07/2024-10-13,14,5,9,0.35714285714285715,314.6614519357675,166.93140765559377,147.73004428017373,10.55214602001241,67.19669044017792,-25.874598026275635,1.8849745314851982,0 days 11:19:17.142857142,2755.022415933976
2024-10-14/2024-10-20,15,4,11,0.26666666666666666,239.09312939643772,227.42322469666448,11.66990469977322,0.777993646651548,65.79527699947306,-26.186063863634388,1.0513136013937823,0 days 15:18:00,2766.692320633749
2024-10-21/2024-10-27,14,8,6,0.5714285714285714,535.8264920711508,108.14805275559536,427.67843931555547,30.548459951111106,75.3857874870306,-25.741066074372156,4.954564399620485,0 days 11:45:00,3194.3707599493046
2024-10-28/2024-11-03,27,14,13,0.5185185185185185,1192.1491581201603,359.33914706638006,832.81001105378,30.844815224214077,98.18818759918287,-38.48697840213873,3.317615594773861,0 days 04:13:20,4027.1807710030844
2024-11-04/2024-11-10,25,10,15,0.4,973.1942249536505,495.87726707527145,477.3169578783791,19.092678315135164,111.0486781597146,-42.48546932887962,1.9625707600867393,0 days 06:42:00,4504.497728881463
2024-11-11/2024-11-17,19,6,13,0.3157894736842105,645.2627688646305,430.2810652317734,214.9817036328571,11.314826506992478,116.15106046199628,-44.019522560835185,1.499630871549172,0 days 08:48:56.842105263,4719.47943251432
2024-11-18/2024-11-24,36,14,22,0.3888888888888889,1654.8960964679732,914.4735616991098,740.4225347688632,20.567292632468423,138.0866475105296,-53.68533206283985,1.8096707939736867,0 days 03:00:00,5459.901967283184
2024-11-25/2024-12-01,22,6,16,0.2727272727272727,797.7217408418682,668.4467938727355,129.2749469691327,5.876133953142396,144.17581987381197,-52.640101394800354,1.1933960161887547,0 days 07:42:16.363636363,5589.176914252316
2024-12-02/2024-12-08,27,11,16,0.4074074074074074,1458.6030339002707,736.2456474567318,722.3573864435389,26.753977275686626,149.54279422760237,-60.81915807724215,1.9811363760707201,0 days 08:05:33.333333333,6311.534300695856
2024-12-09/2024-12-15,15,7,8,0.4666666666666667,1021.698030352589,383.4493496086239,638.2486807439651,42.54991204959767,163.67507600784052,-62.586658880712775,2.664492797798217,0 days 07:17:00,6949.782981439821
2024-12-16/2024-12-22,28,14,14,0.5,2476.865750670433,852.4714104105118,1624.3943402599214,58.01408358071148,207.90337443351746,-79.72439815377584,2.905511810041449,0 days 05:41:15,8574.177321699743
2024-12-23/2024-12-29,5,3,2,0.6,515.7362573146833,102.72101115247722,413.01524616220604,82.60304923244121,184.3738918304456,-67.78608666801404,5.020747474429878,1 days 09:54:00,8987.192567861948
2024-12-30/2025-01-05,16,10,6,0.625,2211.6393399238545,482.80190693895264,1728.8374329849016,108.05233956155635,251.07992184162327,-97.39157397490345,4.5808421800693155,0 days 14:07:30,10716.03000084685
2025-01-06/2025-01-12,23,13,10,0.5652173913043478,3513.172486066809,885.6678055697773,2627.504680497031,114.23933393465353,328.1744420528412,-114.66912335157558,3.966693227385269,0 days 04:46:57.391304347,13343.534681343881
2025-01-13/2025-01-19,25,10,15,0.4,3067.8386360406726,1532.1689993284403,1535.6696367122322,61.426785468489285,352.9505689144108,-127.98718788340067,2.0022847593087487,0 days 06:32:24,14879.204318056112
2025-01-20/2025-01-26,15,8,7,0.5333333333333333,2498.6614916324716,815.5111416356618,1683.1503499968098,112.21002333312066,350.85324668884823,-153.9285957813263,3.063920729054582,0 days 10:16:00,16562.35466805292
2025-01-27/2025-02-02,23,8,15,0.34782608695652173,3068.2268046140616,1924.236089311471,1143.9907153025908,49.73872675228656,415.57108283043226,-164.8693667846885,1.5945168171707729,0 days 09:04:33.913043478,17706.345383355514
2025-02-03/2025-02-09,33,13,20,0.3939393939393939,5452.374934315643,2790.8047172419842,2661.57021707366,80.65364294162606,460.80200958251226,-173.26094484328908,1.9536927469808631,0 days 04:50:00,20367.915600429173
2025-02-10/2025-02-16,19,11,8,0.5789473684210527,4962.343156814589,1407.0545962445171,3555.2885605700717,187.12045055631955,568.8561916351275,-204.6020642516629,3.526759494663017,0 days 08:28:25.263157894,23923.204160999245
2025-02-17/2025-02-23,18,9,9,0.5,4920.066993355805,1685.0715195021448,3234.99547385366,179.72197076964778,631.4193205833533,-213.01221435069178,2.9197971340762088,0 days 05:55:50,27158.199634852906
2025-02-24/2025-03-02,27,9,18,0.3333333333333333,5146.730028033287,3532.455974895936,1614.274053137352,59.787927893976,673.6439269781113,-252.23014955235783,1.4569834881480461,0 days 07:51:06.666666666,28772.47368799026
2025-03-03/2025-03-09,48,23,25,0.4791666666666667,16925.317932486607,6826.652990697509,10098.664941789099,210.38885295393956,903.7563686370987,-363.0510633459062,2.4792995858366127,0 days 02:11:52.500000,38871.13862977936
2025-03-10/2025-03-16,34,14,20,0.4117647058823529,12838.199919819897,6350.0889561507065,6488.1109636691945,190.82679304909396,1118.7268162965943,-448.4169477224284,2.0217354447270846,0 days 04:25:35.294117647,45359.24959344855
2025-03-17/2025-03-23,18,11,7,0.6111111111111112,11049.606571197477,2587.869217446596,8461.73735375088,470.0965196528266,1178.619713544836,-459.3072094917443,4.269770086024643,0 days 04:52:30,53820.98694719943
2025-03-24/2025-03-30,19,9,10,0.47368421052631576,10463.698986768813,4466.838787137009,5996.860199631804,315.6242210332528,1379.199394226085,-533.615594670274,2.3425289081174685,0 days 11:36:18.947368421,59817.847146831235
2025-03-31/2025-04-06,61,24,37,0.39344262295081966,36413.67151343814,19935.08581685662,16478.58569658153,270.14074912428737,1832.2118926048279,-709.8216205832358,1.826612227705969,0 days 02:42:47.213114754,76296.43284341277
2025-04-07/2025-04-13,80,30,50,0.375,52251.4353008954,31722.940856475794,20528.494444419615,256.6061805552452,2315.209164261783,-917.580587980791,1.6471182648953242,0 days 01:23:03.750000,96824.92728783238
2025-04-14/2025-04-20,16,7,9,0.4375,14801.859790563602,5622.381067035162,9179.478723528438,573.7174202205274,2455.478174686432,-801.1211604720543,2.63266747914848,0 days 13:02:48.750000,106004.40601136081
2025-04-21/2025-04-27,17,7,10,0.4117647058823529,15115.108508706071,8090.961434752657,7024.147073953413,413.1851219972596,2516.287726163864,-1020.8961503759155,1.8681473926921695,0 days 05:53:49.411764705,113028.55308531423
2025-04-28/2025-05-04,13,5,8,0.38461538461538464,12062.66735064986,6715.152764208709,5347.51458644115,411.34727588008843,2796.1366474628235,-1149.5325917601801,1.7963355078000645,0 days 12:16:09.230769230,118376.06767175537
2025-05-05/2025-05-11,11,8,3,0.7272727272727273,20061.865298509572,2858.3574696861183,17203.50782882345,1563.9552571657682,2683.3805351257106,-1167.8572869379514,7.018669117236972,0 days 19:24:32.727272727,135579.57550057882
